gvkey	gvkeyx	from	thru	tic	co_conm	co_tic	co_cusip
002159	000003	19640331	19980630	I0003	BENEFICIAL CORP	BNL.1	081721102
005968	000003	19640331	19980630	I0003	RYERSON HOLDING CORP	RYI	78375P107
004073	000003	19640331	19980930	I0003	DRESSER INDUSTRIES INC	DI.	261597108
005087	000003	19640331	19981006	I0003	SPX CORP	SPXC	784635104
003022	000003	19640331	19981112	I0003	CHRYSLER CORP	C.3	171196108
001755	000003	19640331	19981123	I0003	ARMCO INC	AS.	042170100
001609	000003	19640331	19990103	I0003	AMOCO CORP	AN.2	031905102
011584	000003	19640331	19990103	I0003	FOOT LOCKER INC	FL	344849104
006701	000003	19640331	19990411	I0003	AEROQUIP-VICKERS INC	ANV.1	007869100
010855	000003	19640331	19990502	I0003	UNION CAMP CORP	UCC.2	905530101
009810	000003	19640331	19991025	I0003	SONAT INC	SNT.1	835415100
001789	000003	19640331	19991026	I0003	ASARCO INC	AR.2	043413103
007475	000003	19640331	19991130	I0003	MOBIL CORP	MOB.2	607059102
005693	000003	19640331	19991201	I0003	HONEYWELL INC	HON.Z	438506107
003419	000003	19640331	20000130	I0003	CONSOLIDATED NATURAL GAS CO	D2	209615004
004864	000003	19640331	20000130	I0003	FOSTER WHEELER AG	FWLT	H27178104
001848	000003	19640331	20000417	I0003	ATLANTIC RICHFIELD CO	ARC.3	048825103
009114	000003	19640331	20000504	I0003	REYNOLDS METALS CO	RLM.1	761763101
011436	000003	19640331	20000504	I0003	CBS CORP -OLD	CBS.2	12490K107
007938	000003	19640331	20000604	I0003	NACCO INDUSTRIES  -CL A	NC	629579103
002847	000003	19640331	20000615	I0003	CENTRAL & SOUTH WEST CORP	CSR.1	152357109
011288	000003	19640331	20000620	I0003	WARNER-LAMBERT CO	WLA	934488107
003041	000003	19640331	20000628	I0003	MILACRON INC	MZIAQ	598709301
004961	000003	19640331	20000702	I0003	GTE CORP	GTE.1	362320103
005301	000003	19640331	20000829	I0003	GREAT ATLANTIC & PAC TEA CO	GAPTQ	390064103
008214	000003	19640331	20001001	I0003	OWENS CORNING	OC	69073F103
002562	000003	19640331	20001002	I0003	BESTFOODS	BFO.2	08658U101
003255	000003	19640331	20001022	I0003	UNICOM CORP	UCM.2	904911104
003206	000003	19640331	20001101	I0003	COLUMBIA ENERGY GROUP	NI2	197648009
001762	000003	19640331	20001116	I0003	ARMSTRONG HOLDINGS INC	3ACKH	042384107
002189	000003	19640331	20001210	I0003	BETHLEHEM STEEL CORP	3BHMSQ	087509105
003619	000003	19640331	20001210	I0003	CROWN HOLDINGS INC	CCK	228368106
005250	000003	19640331	20001210	I0003	GRACE (W R) & CO	GRA	38388F108
009548	000003	19640331	20001210	I0003	SEAGRAM CO LTD	VO.3	811850106
008657	000003	19640331	20001211	I0003	PRIMARY PDC INC	PRDCQ	731095105
010857	000003	19640331	20010206	I0003	UNION CARBIDE CORP	DOW2	905581104
008852	000003	19640331	20010802	I0003	QUAKER OATS CO	OAT.	747402105
